o,Content scope,Content scope details,Use cases,Use cases details,Provisions,Provisions details,Technologies,Technologies details,Technology requirements,Technology requirements details,Remedies and penalties,Remedies details,
A 7106 (New York),Unqualified usage of AI,"Synthetic media: ""any form of media including text, image, video or sound fully or partially created or modified through the use of artificial intelligence algorithms.""

Covered content: content ""which was produced by or includes any synthetic media""",Specific,Use case: political communication,Models users must add disclosures,,Underspecified,Perceivable disclaimers,"Specific requirements, Qualitative requirements","""The disclosure on printed or digital political communications [...] shall be printed or typed in an appropriate legible form to read as follows: ""This political communication was created with the assistance of artificial intelligence"". The disclosure on non-printed or digital political communications shall clearly and prominently display and/or speak the following statement: ""This political communication was created with the assistance of artificial intelligence"". In the case of a political communication that is not visual, such as radio or automated telephone calls, clearly speaking the statement will satisfy the requirements of this subdivision.""",Not mentioned,Not mentioned,
A 7904 (New York),Unqualified usage of AI,"Aritificial intelligence: ""as defined by the state board of elections"".

Covered content: ""uses an image or video footage that was generated in whole or in part with the use of artificial intelligence"".",Specific,Political communication,Models users must add disclosures,,Underspecified,Perceivable disclaimers,"Specific requirements, Qualitative requirements","""(b) For printed or digital political communications, including but not limited to brochures, flyers, posters, mailings, or internet advertising, the disclosure required under paragraph (a) of this subdivision shall be printed or typed in an appropriate legible form to read as follows: ""This communication was generated using artificial intelligence"".

(c) For non-printed and non-digital political communications, the disclosure required under paragraph (a) of this subdivision shall clearly and prominently display and/or verbally communicate the following statement: ""This communication was generated using artificial intelligence"".

(d) For political communications that are not visual, such as radio or automated telephone calls, the disclosure required under paragraph (a) of this subdivision shall clearly verbally communicate the following statement: ""This communication was generated using artificial intelligence"".""",Monetary penalties,"""Fine equal to the amount expended on such communication.""",
A 9028 (New York),Unqualified usage of AI,"Artificial intelligence technology: ""artificial intelligence technology"" means the development and application of a computer system or computer systems that can perform tasks that typically require human intelligence, which may involve the creation of algorithms, models, and/or systems that enable machines to perceive, reason, learn, and make decisions autonomously or with minimal human intervention.""

Artificial media: ""any text, image, audio, video, or recording that was generated or modified using artificial intelligence technology.""

Covered content: content that ""was produced by artificial intelligence technology or that includes any artificial media""",Specific,Political communication,Models users must add disclosures,,Underspecified,"Perceivable ""disclosure statement""","Specific requirements, Qualitative requirements","""Printed or digital political communications [...] must include a disclosure statement that reads as follows: ""This political communication was created by or with the assistance of artificial intelligence"". Such statement is to be printed or typed in an appropriate legible and conspicuous manner. Disclosure on non-printed or digital political communications shall clearly and conspicuously display and/or speak the following statement: ""This political communication was created by or with the assistance of artificial intelligence"". In the case of a political communication that does not use visuals, such as radio or automated telephone calls, clearly speaking the statement will satisfy the requirements of this subdivision.""",,,
S 880 (North Carolina),Qualified (qualitative) usage of AI,"Synthetic media: ""An image, an audio recording, or a video recording of an individual's appearance, speech, or conduct that has been created or intentionally manipulated with the use of generative adversarial network techniques or other digital technology in a manner to create a realistic but false image, audio, or video.""

Deceptive and fradulent deepfake: ""Any synthetic media that depicts a candidate or political party with the intent to injure the reputation of the candidate or party or otherwise deceive a voter that: a. Appears to a reasonable person to depict a real individual saying or doing something that did not actually occur in reality; or

b. Provides a reasonable person a fundamentally different understanding or impression of the appearance, action, or speech than a reasonable person would have from an unaltered, original version of the image, audio recording, or video recording.""

Covered content: synthetic media",Specific,Election communication,Models users must add disclosures,,Underspecified,Perceivable disclaimers,"Specific requirements, Qualitative requirements","Includes ""This _____ has been manipulated or generated by artificial intelligence."" The blank in the disclosure must be filled with whichever of the following terms most accurately describes the media: (i) image, (ii) video, or (iii) audio.""

""(1) For visual media, the text of the disclosure shall appear in a size that is easily readable by the average viewer and no smaller than the largest font size of other text appearing in the visual media. If the visual media does not include any other text, the disclosure shall appear in a size that is easily readable by the average viewer.

(2) For visual media that is video, the disclosure shall appear for the duration of the video.

(3) If the media consists of audio only, the disclosure shall be read in a clearly spoken manner and in a pitch that can be easily heard by the average listener, at the beginning of the audio, at the end of the audio, and, if the audio is greater than two minutes in length, interspersed within the audio at intervals of not greater than two minutes each.""",Monetary penalties,"""(1) If the person commits the violation within five years of one or more prior violations under this section, to payment of a fine of not more than ten thousand dollars ($10,000).

(2) If the person commits the violation with the intent to cause violence or bodily harm, to payment of a fine of not more than five thousand dollars ($5,000).

(3) In other cases, to payment of a fine of not more than one thousand dollars ($1,000).""",
REAL Political Advertisements Act ,Unqualified usage of AI,"Covered content: ""image or video footage that was generated in whole or in part with the use of artificial intelligence (generative AI)"". Note: artificial intelligence not defined; to be determined by later standards.",Specific,Political advertisements.,Models users must add disclosures,"Development of standards: ""Not later than 120 days after the date of enactment of the Require the Exposure of AI–Led Political Advertisements Act, the Commission shall promulgate a regulation to carry out this subsection, including—

“(A) criteria for determining whether an advertisement contains an image or video footage created through generative artificial intelligence;

“(B) requirements for the contents of the statement required under paragraph (1); and

“(C) a definition of content generated by artificial intelligence that considers current and future uses of artificial intelligence and similar technologies that have a high risk for use in creating and spreading misinformation or disinformation about candidates, elections, and issues of national concern.”.",Underspecified,"""Clear and conspicuous"" statement","Specific requirements, Qualitative requirements","“(A) TEXT OR GRAPHIC COMMUNICATIONS.—In the case of a text or graphic communication, the statement—

“(i) appears in letters at least as large as the majority of the text in the communication; and

“(ii) meets the requirements of paragraphs (2) and (3) of subsection (c).

“(B) AUDIO COMMUNICATIONS.—In the case of an audio communication, the statement is spoken in a clearly audible and intelligible manner at the beginning or end of the communication and lasts at least 3 seconds.

“(C) VIDEO COMMUNICATIONS.—In the case of a video communication that also includes audio, the statement—

“(i) is included at either the beginning or the end of the communication; and

“(ii) is made both in—

“(I) a written format that meets the requirements of subparagraph (A) and appears for at least 4 seconds; and

“(II) an audible format that meets the requirements of subparagraph (B).

“(D) OTHER COMMUNICATIONS.—In the case of any other type of communication, the statement is at least as clear and conspicuous as the statement specified in subparagraph (A), (B), or (C).""",Not mentioned,Not mentioned.,
AI Transparency in Elections Act,Qualified (qualitative) usage of AI,"Generative artificial intelligence: ""artificial intelligence technology that uses machine learning (including deep-learning models, natural language processing, or other computational processing techniques of similar or greater complexity) to generate text, images, audio, video, or other media.""

Substantially generated by artificial intelligence: ""an image, audio, or video that was created or materially altered using generative artificial intelligence"". Does not include ""an image, audio, or video that—

“(I) has only minor alterations by generative artificial intelligence (including cosmetic adjustments, color editing, cropping, resizing, and other immaterial uses); and

“(II) does not create a fundamentally different understanding than a reasonable person would have from an unaltered version of the media.""",Specific,Political advertisements,Models users must add disclosures,,,,,,,,
S 2423 (Mississippi),Unqualified usage of AI,"Artificial intelligence: ""any artificial system that performs tasks under varying and unpredictable circumstances, without significant human oversight, can learn from experience and improve performance, or can generate images, audio or videos that mimic the likeness of individuals in a near or totally indistinguishable way""

Covered content: content that ""containts any image, audio or video that is generated in whole or in part with the use of artificial intelligence""","Specific, Exceptions","Political advertising

Exceptions: ""(a) A radio or television broadcasting station, including a cable or satellite television operator, programmer

or producer that broadcasts a qualified political advertisement or communication generated in whole or in part by artificial intelligence as part of a bona fide newscast, news interview, news documentary or on-the-spot coverage of bona fide news events, if the broadcast clearly acknowledges through content or a

disclosure, in a manner that can be easily heard or read by the average and reasonable listener or viewer, that the qualified political advertisement or communication was generated in whole or in part by artificial intelligence and does not accurately represent the speech or conduct of the depicted individual.

(b) A radio or television broadcasting station, including a cable or satellite television operator, programmer

or producer, when the station is paid to broadcast qualified political advertisements.

(c) A distribution platform, including, but not limited to, a website or a regularly published newspaper, magazine or other periodical of general circulation, including an internet or electronic publication, that routinely carries news and commentary of general interest, and that publishes qualified political advertisements prohibited under this section, if the distribution platform has a clearly written and accessible policy that:

(i) Is provided to any person, committee or other entity that creates, seeks to publish or originally distributes a qualified political advertisement;

(ii) States the qualified political advertisement must include a statement consistent with the disclaimers outlined in subsection (5) of this section;

(d) A qualified political advertisement that constitutes satire or parody; or

(e) A distribution platform, if the platform can show that they provided notice of the platform's prohibitions related to a lack of disclosure of content created in whole or in part by artificial intelligence in a qualified political advertisement or prerecorded telephone message, in compliance with subsections (4) and (5) of this section.""",Models users must add disclosures,,Underspecified,"""Clear and conspicuous statement""","Qualitative requirements, Specific requirements","""(b) If the qualified political advertisement is a text or graphic communication that was generated in whole or in part by artificial intelligence, include a disclaimer that:

(i) Indicates what information was produced by artificial intelligence;

(ii) Appears in letters at least as large as the majority of the text in the graphic communication; and

(iii) Is in the same language as the language used in the graphic communication.

(c) If the qualified political advertisement is an audio communication that has been generated in whole or in part by artificial intelligence, include a disclaimer that:

(i) Is spoken in an audible, clear and intelligible manner at the beginning or end of the communication;

(ii) Lasts at least three (3) seconds; and

(iii) Is stated in the same language as the language used in the audio communication.

(d) If the qualified political advertisement is a video communication that also includes audio, the advertisement must include a disclaimer that includes all of the following:

(i) A message that appears for at least four (4) seconds in letters at least as large as the majority of any text communication, or if there is no other text communication, in a size that is easily readable by the average and reasonable viewer;

(ii) A spoken message in an audible, clear and intelligible manner at ,the beginning or end of the communication, that lasts for at least three (3) seconds; and

(iii) The disclaiming message must be in the same language as the language used in the video communication.""",Monetary penalties,"""(a) For a first violation, the person is responsible for a state civil penalty and shall be ordered to pay a civil fine of not more than Two-Hundred and Fifty Dollars ($250.00).

(b) For a second or subsequent violation, the person is responsible for a state civil penalty and shall be ordered to pay a civil fine of not more than One Thousand Dollars ($1,000.00) for each violation.

(8) A committee that violates the provisions of subsections (4) and (5) shall be responsible for a civil penalty and shall be ordered to pay a fine of not more than One Thousand Dollars ($1,000.00) for each violation.

(9) Each qualified political advertisement that is distributed, published, printed or aired to the public that violates any of the provisions of subsections (4) and (5) shall be considered a separate violation each time the advertisement is shown or transmitted, and shall be subject to the penalties as listed in subsections (7) and (8).""",
S 97 (Louisiana),Qualified (qualitative) usage of AI,"Deepfake technology: ""the use of manipulated images or audio or visual depictions that appear to be genuine"".

Covered content: content that uses ""deep fake technology, artificial intelligence, or similar tools to create, alter, or otherwise manipulate media in a manner that would falsely appear to a reasonable observer to be an authentic record of a natural person's speech, conduct, or likeness"". Note: artificial inteligence not defined.","Specific, Exceptions","Election communication.

Exceptions: ""H. This Section shall not restrict the ability of a person to preserve the integrity or security of systems or to detect, prevent, respond to, or protect against security incidents, identity theft, fraud, harassment, malicious or deceptive activities, or any illegal activity, or to investigate, report, or prosecute those responsible for any of these actions.

I. No provider of an interactive computer service, as defined in 47 U.S.C. 230(f), or a provider of a telecommunications or an information service, as defined in 47 U.S.C. 153, or its affiliates or subsidiaries, shall be held to have violated the provisions of this Section, or be subject to any civil action, solely for providing access or connection to or from a website or other information or content on the internet, or a facility, system, or network not under that provider's control, including transmission, downloading, intermediate storage, access software, or other related capabilities that are incidental to providing such access or connection, to the extent it is not responsible for the creation of the material or communication that constitutes a violation under this Section.

J. Nothing in this Section shall be construed to impose liability on a radio broadcast station, television broadcast station, cable or satellite television company, or other video service provider, streaming video provider, newspaper company, periodical company, billboard company, advertisement agency, or media platform responsible for the production or publication of any advertisement, voice, data, or other communications, information services, or internet access provider, or bona fide news or public interest website operator, or any affiliates or subsidiaries thereof, to the extent it is not responsible for the creation of the material or communication that constitutes a violation under this Section.""",Models users must add disclosures,,Underspecified,"Just says model users must ""state""",Specific requirements,"Disclosure should be ""clear and understandable before the audio or visual image is presented.""",,,
H 5450 (Connecticut),Qualified (qualitative) usage of AI,"Artificial intelligence: ""means a machine-based system that (A) can, for a given set of human-defined objectives, make predictions, recommendations or decisions influencing real or virtual environments, and (B) uses machine and human-based inputs to (i) perceive real and virtual environments, (ii) abstract such perceptions into models through analysis in an automated manner, and (iii) formulate options for information or action through model inference;""

Covered content: ""(3) ""Deceptive synthetic media"" means any image, audio or video of an individual, and any representation of such individual's appearance, speech or conduct that is substantially derived from any such image, audio or video, which (A) a reasonable person would believe depicts the appearance, speech or conduct of such individual when such individual did not in fact appear as depicted or engage in such speech or conduct, and (B) was generated, in whole or in part, through the use of artificial intelligence or other means""","Specific, Exceptions","Use case: ""during the ninety-day period preceding any election or primary "", communications ""intended to injure a candidate or influence the result of such election or primary"", distributed without the consent of the individual.

Exception for: ""(A) A radio station or television station, whether broadcast, cable or satellite and including, but not limited to, any producer or programmer or any certified competitive video service provider, community antenna television company, holder of a certificate of cable franchise authority or holder of a certificate of video franchise authority, as those terms are defined in section 16-1 of the general statutes, that (i) broadcasts such communication containing deceptive synthetic media as part of a bona fide newscast, news interview, news documentary or other on-the-spot coverage of bona fide news events, (ii) (I) retains the disclaimer upon such communication required under subdivision (1) of this subsection, or (II) except in the case of any such on-the-spot coverage, adds such a disclaimer at the time of such broadcast if such communication did not previously include such a disclaimer, and (iii) except in the case of any such on-the-spot coverage for which such person does not have reason to believe that such communication contains deceptive synthetic media, clearly states in the content of such broadcast that such communication contains deceptive synthetic media; or

(B) An Internet web site or regularly published newspaper, magazine or other periodical of general circulation, including, but not limited to, any regularly published periodical of general circulation that is published electronically or on the Internet, that (i) publishes such communication containing deceptive synthetic media as part of such person's routine carriage of news and commentary of general interest, (ii) (I) retains the disclaimer upon such communication required under subdivision (1) of this subsection, or (II) adds such a disclaimer at the time of such publication if such communication did not previously include such a disclaimer, and (iii) clearly states in the content of such publication that such communication contains deceptive synthetic media.""",Models users must add disclosures,,Underspecified,Perceivable disclaimers,"Specific requirements, Qualitative requirements","If the communication: ""(A) Is an image or consists only of an image, (i) a disclaimer stating ""This communication contains an image that has been manipulated"" or ""This image has been manipulated"", as applicable, appears in text that is clearly visible to and easily readable by the average viewer and is not smaller than the largest font size of any other text appearing in such communication, and (ii) in the case of any such image that was generated by editing or manipulating an existing image, a citation directing such viewer to the original source from which the unedited or unmanipulated version of such existing image was obtained;

(B) Consists only of audio, (i) a disclaimer stating ""This communication contains audio that has been manipulated"" is read in a clearly spoken manner, in a pitch that can be easily heard by the average listener and in the same language as the deceptive synthetic media and any other language such person should reasonably expect such listener to speak or understand, and which disclaimer shall be so read at the beginning of such communication, at the end of such communication and, if such communication is greater than one minute in length, interspersed within such communication at not less frequently than thirty-second intervals, and (ii) in the case of any such audio that was generated by editing or manipulating existing audio, a citation directing such listener to the original source from which the unedited or unmanipulated version of such existing audio was obtained; or

(C) Is a video, (i) a disclaimer stating ""This communication contains video that has been manipulated"" appears in text that is clearly visible to and easily readable by the average viewer, is not smaller than the largest font size of any other text appearing in such communication and is in the same language as the deceptive synthetic media and any other language such person should reasonably expect such viewer to speak or understand, and which disclaimer shall appear for the duration of such communication, and (ii) in the case of any such video that was generated by editing or manipulating an existing video, a citation directing such viewer to the original source from which the unedited or unmanipulated version of such existing video was obtained""",Other,Defines penalties in terms of misdemeanors for guilty party.,
H 1147 (Colorado),Qualified (qualitative) usage of AI,"Generative artificial intelligence: ""ARTIFICIAL INTELLIGENCE SYSTEM CAPABLE OF GENERATING NOVEL IMAGE, VIDEO, AUDIO, MULTIMEDIA, OR TEXT CONTENT BASED ON PROMPTS OR OTHER FORMS OF DATA PROVIDED BY A PERSON.""

AI-generated content: ""IMAGE, VIDEO, AUDIO, MULTIMEDIA, OR TEXT CONTENT THAT IS SUBSTANTIALLY CREATED OR MODIFIED BY GENERATIVE ARTIFICIAL INTELLIGENCE SUCH THAT THE USE OF GENERATIVE ARTIFICIAL INTELLIGENCE ALTERS THE MEANING OR SIGNIFICANCE THAT A REASONABLE PERSON WOULD TAKE AWAY FROM THE CONTENT. [...] DOES NOT INCLUDE IMAGE, VIDEO, AUDIO, MULTIMEDIA, OR TEXT CONTENT THAT IS MINIMALLY EDITED, ADJUSTED, OR ENHANCED BY GENERATIVE ARTIFICIAL INTELLIGENCE SUCH THAT THE USE OF GENERATIVE ARTIFICIAL INTELLIGENCE DOES NOT MATERIALLY ALTER THE MEANING OR SIGNIFICANCE THAT A REASONABLE PERSON WOULD TAKE AWAY FROM THE CONTENT.""

Deepfake: ""MEANS AN IMAGE, VIDEO, AUDIO, OR MULTIMEDIA AI-GENERATED CONTENT THAT FALSELY APPEARS TO BE AUTHENTIC OR TRUTHFUL AND WHICH FEATURES A DEPICTION OF AN INDIVIDUAL APPEARING TO SAY OR DO SOMETHING THE INDIVIDUAL DID NOT SAY OR DO.""

Covered content: deepfakes.","Specific, Exceptions","Communication about election candidates. Exceptions: ""(b) THIS SECTION DOES NOT APPLY TO A RADIO OR TELEVISION BROADCASTING STATION, INCLUDING A CABLE OR SATELLITE TELEVISION OPERATOR, PROGRAMMER, OR PRODUCER THAT BROADCASTS A COMMUNICATION THAT INCLUDES A DEEPFAKE PROHIBITED BY SUBSECTION (1) OF THIS SECTION AS PART OF A BONA FIDE NEWSCAST, NEWS INTERVIEW, NEWS DOCUMENTARY, OR ON-THE-SPOT COVERAGE OF A BONA FIDE NEWS EVENT, IF THE BROADCAST OR PUBLICATION CLEARLY ACKNOWLEDGES THROUGH CONTENT OR A DISCLOSURE, IN A MANNER THAT CAN BE EASILY HEARD AND UNDERSTOOD OR READ BY THE AVERAGE LISTENER OR VIEWER, THAT THERE ARE QUESTIONS ABOUT THE AUTHENTICITY OF THE DEEPFAKE IN THE COMMUNICATION;

(c) THIS SECTION DOES NOT APPLY TO A RADIO OR TELEVISION BROADCASTING STATION, INCLUDING A CABLE OR SATELLITE TELEVISION OPERATOR, PROGRAMMER, PRODUCER, OR STREAMING SERVICE, WHEN THE STATION IS PAID TO BROADCAST A COMMUNICATION THAT INCLUDES A DEEPFAKE;

(d) THIS SECTION DOES NOT APPLY TO AN INTERNET WEBSITE, OR A REGULARLY PUBLISHED NEWSPAPER, MAGAZINE, OR OTHER PERIODICAL OF GENERAL CIRCULATION, INCLUDING AN INTERNET OR ELECTRONIC PUBLICATION OR STREAMING SERVICE, THAT ROUTINELY CARRIES NEWS AND COMMENTARY OF GENERAL INTEREST AND THAT PUBLISHES A COMMUNICATION THAT INCLUDES A DEEPFAKE PROHIBITED BY SUBSECTION (1) OF THIS SECTION, IF THE PUBLICATION CLEARLY STATES THAT THE COMMUNICATION THAT INCLUDES THE DEEPFAKE DOES NOT ACCURATELY REPRESENT A CANDIDATE FOR ELECTIVE OFFICE;

(e) THIS SECTION DOES NOT APPLY TO MEDIA CONTENT THAT CONSTITUTES SATIRE OR PARODY OR THE PRODUCTION OF WHICH IS SUBSTANTIALLY DEPENDENT ON THE ABILITY OF AN INDIVIDUAL TO PHYSICALLY OR VERBALLY IMPERSONATE THE CANDIDATE AND NOT UPON GENERATIVE AI OR OTHER TECHNICAL MEANS;

(f) THIS SECTION DOES NOT APPLY TO THE PROVIDER OF TECHNOLOGY USED IN THE CREATION OF A DEEPFAKE; AND

(g) THIS SECTION DOES NOT APPLY TO AN INTERACTIVE COMPUTER SERVICE, AS DEFINED IN 47 U.S.C. SEC. 230 (f)(2), FOR ANY CONTENT PROVIDED BY ANOTHER INFORMATION CONTENT PROVIDER AS DEFINED IN 47 U.S.C. SEC. 230 (f)(3).""",Models users must add disclosures,,Underspecified,"""Clear and conspicious"" disclosure which includes both perceivable disclaimers and metadata tagging","Specific requirements, Qualitative requirements","States ""THIS (IMAGE/AUDIO/VIDEO/MULTIMEDIA) HAS BEEN EDITED AND DEPICTS SPEECH OR CONDUCT THAT FALSELY APPEARS TO BE AUTHENTIC OR TRUTHFUL.""

""(I) IN A VISUAL COMMUNICATION, THE TEXT OF THE DISCLOSURE STATEMENT APPEARS IN A FONT SIZE NO SMALLER THAN THE LARGEST FONT SIZE OF OTHER TEXT APPEARING IN THE VISUAL COMMUNICATION. IF THE VISUAL COMMUNICATION DOES NOT INCLUDE ANY OTHER TEXT, THE DISCLOSURE STATEMENT APPEARS IN A FONT SIZE THAT IS EASILY READABLE BY THE AVERAGE VIEWER.

(II) IN AN AUDIO COMMUNICATION, THE DISCLOSURE STATEMENT SHALL BE READ IN A CLEARLY SPOKEN MANNER IN THE SAME PITCH, SPEED, LANGUAGE, AND VOLUME AS THE MAJORITY OF THE AUDIO COMMUNICATION, AT THE BEGINNING OF THE AUDIO COMMUNICATION, AT THE END OF THE AUDIO COMMUNICATION, AND, IF THE AUDIO COMMUNICATION IS GREATER THAN TWO MINUTES IN LENGTH, INTERSPERSED WITHIN THE AUDIO COMMUNICATION AT INTERVALS OF NOT MORE THAN ONE MINUTE EACH;

(III) THE METADATA OF THE COMMUNICATION INCLUDES THE DISCLOSURE STATEMENT, THE IDENTITY OF THE TOOL USED TO CREATE THE DEEPFAKE, AND THE DATE AND TIME THE DEEPFAKE WAS CREATED;

(IV) THE DISCLOSURE STATEMENT IN THE COMMUNICATION, INCLUDING THE DISCLOSURE STATEMENT IN ANY METADATA, IS, TO THE EXTENT TECHNICALLY FEASIBLE, PERMANENT OR UNABLE TO BE EASILY REMOVED BY A SUBSEQUENT USER;

(V) THE COMMUNICATION COMPLIES WITH ANY ADDITIONAL REQUIREMENTS FOR THE DISCLOSURE STATEMENT THAT THE SECRETARY OF STATE MAY ADOPT BY RULE TO ENSURE THAT THE DISCLOSURE STATEMENT IS PRESENTED IN A CLEAR AND CONSPICUOUS AND UNDERSTANDABLE MANNER; AND

(VI) IN A BROADCAST OR ONLINE VISUAL OR AUDIO COMMUNICATION THAT INCLUDES A STATEMENT REQUIRED BY SUBSECTION (2) OF THIS SECTION, THE STATEMENT SATISFIES ALL APPLICABLE REQUIREMENTS, IF ANY, PROMULGATED BY THE FEDERAL COMMUNICATIONS COMMISSION FOR SIZE, DURATION, AND PLACEMENT.""",Violation of established act,"An affected party may: ""(b) BRING AN ACTION FOR COMPENSATORY AND PUNITIVE DAMAGES AGAINST THE PERSON THAT DISTRIBUTED, DISSEMINATED, PUBLISHED, BROADCAST, TRANSMITTED, OR DISPLAYED THE COMMUNICATION;

(c) SEEK REASONABLE ATTORNEY FEES, FILING FEES, AND COSTS OF ACTION; AND

(d) SEEK ANY OTHER JUST AND APPROPRIATE RELIEF NECESSARY TO ENFORCE THIS ARTICLE 46 AND REMEDY THE HARM CAUSED BY THE VIOLATION OF SECTION 1-46-103.""",
L 1203 (Nebraska),Qualified (quantitative) usage of AI,"""Generated in whole or substantially with the use of artificial intelligence.""",Specific,Political advertisement,Models users must add disclosures,,Underspecified,"""Clear and conspicuous"" statement",,"""(a) State that the qualified political advertisement was generated in whole or substantially by artificial intelligence;

(b) If the qualified political advertisement is a graphic communication, appear in letters at least as large as the majority of the text in the graphic communication and be in the same language as the language used in the graphic communication;

(c) If the qualified political advertisement is an audio communication, be spoken in a clearly audible and intelligible manner at the beginning or end of the communication, last at least three seconds, and be in the same language as the language used in the audio communication; and

(d) If the qualified political advertisement is a video communication that also includes audio, do all of the following:

(i) Appear for at least four seconds in letters at least as large as the majority of any text communication or, if there is no other text communication, in a size that is easily readable by the average viewer;

(ii) Be spoken in a clearly audible and intelligible manner at the beginning or end of the communication and last at least three seconds; and

(iii) Be in the same language as the language used in the video communication.""",,,
DEEPFAKES Accountability Act,Qualified (qualitative) usage of AI,"Deepfake: ""any video recording, motion-picture film, sound recording, electronic image, or photograph, or any technological representation of speech or conduct substantially derivative thereof---(A) which appears to authentically depict any speech or conduct of a person who did not in fact engage in such speech or conduct; and (B) the production of which was substantially dependent upon technical means, rather than the ability of another person to physically or verbally impersonate such person.""

Covered content: ""any deepfake, which---(A) a reasonable person, having considered the visual or audio qualities of the record and the nature of the distribution channel in which the record appears, would believe accurately exhibits—(i) any material activity of a living person which such living person did not in fact undertake; or (ii) any material activity of a deceased person which such deceased person did not in fact undertake, and the exhibition of which is substantially likely to either further a criminal act or result in improper interference in an official proceeding, a public policy debate, or an election; and (B) was produced without the consent of such living person, or in the case of a deceased person, such person or the heirs thereof.""

AI not defined",General,General,"Models users must add disclosures, Disclosures must not be removed",,Underspecified,"""Technologies, such as content provenance technologies, that clearly identify [records] as containing altered audio or visual elements, or as having been entirely created through generative artificial intelligence or similar technologies."" 

For audiovisual, audio, and visual content, must include explicit disclaimers",No requirements,No requirements,"Monetary penalties, Imprisonment","Altering disclosures (criminal penalty): fines, imprisonment for 5 years, or both.

Altering disclosures (civil penalty): """"",Civil vs criminal use cases and penalties?
S 1680 (Florida),Unqualified usage of AI,"Content scope: ""images and audio created using generative
artificial intelligence"". Note: terms not defined.",General,General,Standards must be developed,"""Evaluate common standards for artificial intelligence safety and
security measures, including the benefits of requiring disclosure of the
digital provenance for all images and audio created using generative
artificial intelligence as a means of revealing the origin and edit of the
image or audio, as well as the best methods for such disclosure.""",Underspecified,"""Disclosure of digital provenance"".",No requirements,No requirements,N/A,N/A,
Civilian Agency AI Watermark Act,Not defined,Not defined.,General,General.,Standards must be developed,"Development of standards: ""the Secretary of Homeland Security shall seek to consult with the Director of the National Institute of Standards and Technology and the Director of the United States Patent and Trademark Office regarding development of an artificial intelligence watermark and trademark system to identify Federal agency approved artificial intelligence applications for civilian agency use.""",Underspecified,"""Watermark""",No requirements,No requirements,N/A,N/A,
S 1235 (California),Not defined,"Artificial intelligence: ""a machine-based system that can, for a given set of human-defined objectives, make predictions, recommendations, or decisions influencing real or virtual environments. Artificial intelligence systems use machine- and human-based inputs to do all of the following:

(1) Perceive real and virtual environments.

(2) Abstract those perceptions into models through analysis in an automated manner.

(3) Use model inferences to formulate options for information or action.""

Deepfake: ""audio or visual content that has been generated or manipulated by artificial intelligence that would falsely appear to be authentic or truthful and that features depictions of people appearing to say or do things they did not say or do without their consent.""",General,General.,Standards must be developed,"Among other things, standards must investigate ""The legal implications and privacy impacts associated with the use of artificial intelligence, digital content forgery technologies, deepfakes, and technologies allowing public verification of digital content provenance.""",Underspecified,"""Digital content provenance: ""the verifiable chronology of the original piece of digital content, such as an image, video, audio recording, or electronic document.""",No requirements,No requirements,N/A,N/A,
"AI Research, Innovation, and Accountability Act of 2023",Unqualified usage of AI,,General,,Standards must be developed,,,,,,,,
