Name,Category,Author name,Author category,"Does the document acknowledge/reference a broader ""primitive""",Use cases mentioned,Watermark/Watermark-Adjacent Technologies Mentioned,Technologies as an Exhaustive List,Coordination with developer for watermark generation (coarse),Coordination with developer for watermark generation (fine),Detection process acknowledgement,Detection process implementation (Fine),Distinguish between verifiers and tool providers (coarse),Distinguish between verifiers and tool providers (fine),Who are verifiers required to trust (coarse),Who are verifiers required to trust (fine),What properties does the document acknowledge?,Adversarial robustness (coarse),Adversarial robustness (fine),Honest robustness (coarse),Honest robustness (fine),Quality (coarse),Quality (fine),False negative rate (coarse),False negative rate (fine),Unforgeability (coarse),Unforgeability (fine),False positive rate (coarse),False positive rate (fine),Calls to action,Assertiveness of call to action,Additional Notes,Column 33,Column 34,Column 35
H 3453 (Oklahoma),Bill (rejected),Jeff Boatman,Government official(s),Yes,None,None,N/A,Does not discuss,N/A,Does not acknowledges that a detection process exists (if applicable),N/A,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,"No person should remove watermarks, Model users must include disclaimer",Legal mandate,"Very vague; refers to ""the right to know"" when interacting with AI content. Is this from model users or providers? Refers to ""watermarks"" as a vague, abstract concept, which is not even defined in the bill. Mandates that when sites remove watermarks, these need to be replaced with a new watermark by the site.",,,
H 2707 (Tennessee),Bill (rejected),Johnny Garrett,Government official(s),No,None,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"").",Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Model users must include disclaimer,Legal mandate,"No clear scope of what content is covered by the bill; vague reference to ""generated using AI"".",,,
H 710 (Vermont),Bill (rejected),Monique Priestley,Government official(s),Yes,"CSAM, NCII",None,N/A,Adding watermarks requires model developer involvement,Mandates that Gen AI System producers must include watermark or provenance mechanisms.,Acknowledges that a detection process exists (if applicable),Mandates that Gen AI system producers must 'detect' synthetic content.,Yes,Yes,Not mentioned,Not mentioned,Adversarial Robustness,Acknowledges that provenance information should be hard to remove,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,Not mentioned.,"Model providers must add watermarks, Model providers should provide detection tools",Legal mandate,Bases argument on CSAM and NCII,,,
S 1235 (California),Bill (rejected),Lena Gonzalez,Government official(s),Yes,Deepfakes,None,N/A,Does not discuss,N/A,Does not acknowledges that a detection process exists (if applicable),N/A.,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Development of standards,,"Vague reference to ""technologies allowing public verification of digital content provenance"". In the scope of understanding the ""legal implications and privacy impacts"" of such technologies.",,,
S 97 (Louisiana),Bill (rejected),Royce Duplessis,Government official(s),No,"Deepfakes, Election Integrity","""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"").",Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Model users must include disclaimer,Legal mandate,Note: this bill was vetoed by the governor. Scope of content covered by bill is not very clear.,,,
H 1459 (Florida),Bill (rejected),Fiona McFarland,Government official(s),Yes,None,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"").",Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").","Development of standards, Model users must include disclaimer",Legal mandate,"Broad reference to ""requiring disclosure"".",,,
S 2 (Conneticut),Bill (rejected),Martin Looney,Government official(s),No,None,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"").",Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").","Model users must include disclaimer, Model providers must add watermarks",Legal mandate,"Vague mention to ""disclosure"". Vague mention to ""generat[ing[ or manipulat[ing]"" synthetic content. Mentions that, for text, no disclosure is required if the text has been reviewed by a human.",,,
H 1734 (Hawaii),Bill (rejected),Gene Ward,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"").",Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Model users must include disclaimer,Legal mandate,"Scope of content is content created ""in whole or in part"" using AI.",,,
S 2423 (Mississippi),Bill (rejected),Bradford Blackmon,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"").",Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Model users must include disclaimer,Legal mandate,"Scope of content is content created ""in whole or in part"" using AI.",,,
L 1203 (Nebraska),Bill (rejected),John Cavanaugh,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"").",Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Model users must include disclaimer,Legal mandate,"Scope of content is content created ""in whole or in part"" using AI.",,,
California Digital Content Provenance Standards Act (AB 3211),Bill (rejected),California State Assembly,Government official(s),No,"Digital Provenance, Election Integrity","Metadata tagging, Explicit labels",Examples,Adding watermarks requires model developer involvement,"Metadata and provenance information should be added by all GenAI providers.
N/A (Explicit Labels)",Acknowledges that a detection process exists (if applicable),"There must be a public-facing tool to detect metadata and provenance information.
N/A (Explicit Labels)",Yes,"Yes (metadata tagging), Yes (Explicit Labels)",Not mentioned,Not mentioned,"Adversarial Robustness, Unforgeability",Acknowledges,Metadata should be hard to remove.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Not Mentioned
",Acknowledged,Metadata should not be able to be applied to non-generative content.,Not Mentioned,Not Mentioned,Model providers must add watermarks,Legal mandate,,,,
"Executive Order on the Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence",Executive Order,President Biden,Government official(s),No,"Misinformation, Fraud/Scams, Authenticating Communications",Explicit labels,Examples,Does not discuss,N/A (Explicit Labels),Acknowledges that a detection process exists (if applicable),"Mentions that synthetic content detection must exist. 
N/A ('Explicit Labels')",No,Not Applicable (Explicit Labels),Not mentioned,Not mentioned,Adversarial Robustness,Watermarks should be difficult to remove,N/A,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Development of standards,Legal mandate,"Mentions waternmarking but does not clarify if invisible or visible, also mentions provenance information.",,,
Disclosure and Transparency of Artificial Intelligence-Generated Content in Political Advertisements (NOTE: ignore comments at the end; read up to page 22),Policy Briefing,FCC,Government entity,No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,Not Applicable ('Say I used AI'),Does not acknowledges that a detection process exists (if applicable),N/A ('Say I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Strong suggestion,,,,
RISK IN FOCUS: GENERATIVE A.I. AND THE 2024 ELECTION CYCLE,Regulatory Briefing,CISA,Government entity,Yes,Authenticating Communications,None,N/A,Does not discuss,N/A,Does not acknowledges that a detection process exists (if applicable),N/A,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Model users must include disclaimer,Suggestion,"Uses ""watermarks"" as a vague, abstract cocncept. Not clear exactly what is meant by watermarking. Watermarks are only mentioned briefly, in passing.",,,
NIST 100-4: Reducing Risks Posed by Synthetic Content,Regulatory Briefing,NIST,Government entity,Yes,"NCII, CSAM, Fraud/Scams, Identity Theft, Disinformation, Misinformation, Deepfakes, Election Integrity","Invisible Watermarks, Metadata tagging, Post-hoc detection, Visible Watermarks, Explicit labels",Exhaustive List,Adding watermarks requires model developer involvement,"Acknowledges that multiple, per-model detection services may be needed (invisible watermarks). Acknowledges that the entity generating content may need to have a secret key (metadata tagging). Detection tools may or may not be developed in conjuction with model provider (post-hoc  detectors). Not applicable (explicit labels).",Acknowledges that a detection process exists (if applicable),"""Machine-readable"" by a ""watermark detector""; may be public or private depending on the availability of information needed to detect watermark; acknowledges that multiple, per-model detection services may be needed, which is particularly important for private schemes, but public schemes may be easier to bypass via repeated testing (invisible watermarks). ""Perceived directly by the sense"" (visible watermarks). Acknowledges that a public-key infrastructure may be required, and that metadata is ""machine readable"" (metadata tagging). Users use a tool to detect, which may or may not be developed in conjuction with model provider (post-hoc detectors). Not applicable (explicit labels).",Yes,"Yes (Invisible watermarks), Not Applicable (Visible Watermarks), No (metadata tagging), Not applicable (explicit labels)",Not mentioned,"Users generating content (metadata tagging), Users generating content (explicit labels), Not mentioned (visible watermarks), Not mentioned (invisible watermarks)","Adversarial Robustness, Honest Robustness, Quality, False Negative Rate, Unforgeability, False Positive Rate",Acknowledged.,"Watermarks should resist ""attempts by malicious users"" to remove the watermark; broadly acknowledges tradeoff between robustness and quality; acknowledges various limitations and impossibility results; acknowledges that watermarks can be turned ""off"" by someone with access to the model (invisible watermarks, visible watermarks). Acknowledges metadata can be manipulated or stripped altogether (metadata tagging). Acknowledges a ""cat-and-mouse"" game between detectors and adversaries, and that ""paraphrasing attacks"" degrade performance; mentions perfect detectors may be theoretically impossible (post-hoc detectors).  Not mentioned (explicit labels).",Acknowledged.,"Watermarks should be detectable even if there are ""typical innocuous
modifications"" to the content (invisible watermarks, visible watermarks). Acknowledges metadata can be stripped for benign reasons (metadata tagging). Not mentioned (explicit labels).",Acknowledged.,"Watermarks should not affect quality of outputs; broadly acknowledges tradeoff between robustness and quality (invisible watermarks, visible watermarks). Not mentioned (metadata tagging). Not mentioned (explicit labels).",Acknowledged.,"Watermarks have non-zero probability of false negatives, but good watermarks should have a low rate, even for small pieces of content (invisible watermarks). Good watermarks should have a low rate, even for small pieces of content (visible watermarks). Acknowledges detectors do not always correctly classify content (post-hoc detectors). Not mentioned (metadata tagging). Not mentioned (explicit labels).",Acknowledged.,"Watermarks should resist ""attempts by malicious users"" to insert fake watermarks; discusses multiple example attacks to add watermarks (invisible watermarks, visible watermarks). Acknowledges metadata can be falsified (metadata tagging). Not mentioned (metadata tagging). Not mentioned (explicit labels).",Acknowledged.,"Watermarks have non-zero probability of false positives, but good watermarks should have a low rate, even for small pieces of content  (invisible watermarks). Good watermarks should have a low rate, even for small pieces of content (visible watermarks). Not mentioned (metadata tagging). Not mentioned (explicit labels).",Not mentioned,N/A,"Scope of covered content is that which is ""significantly altered or generated by algorithms, including by AI"". Mentions ""none of these techniques offer
comprehensive solutions on their own"", and that they rely on effective implementations. Acknowledges that these are technical solutions, that may be complemented by non-technical/normative approaches. For metadata tagging, acknowledges that the signer claims the data is accurate, but we cannot be for certain. Broadly mentions the importance of testing different techniques, and how these relate to the guarantees given by tool. Acknoledges explicit labels are often used in conjuction with other detection tools",,,
Generative AI and watermarking,Regulatory Briefing,European Parliament,Government entity,Yes,"Misinformation, Disinformation, Deepfakes","Invisible Watermarks, Explicit labels, Post-hoc detection, Visible Watermarks",Examples,Adding watermarks requires model developer involvement,Invisible watermarks must be created during the model training phase by teaching models to embed identifiers in content.,Acknowledges that a detection process exists (if applicable),"Invisible watermarks must have an accompanying tool to detect that watermark in content, may or may not be interoperable between different models and watermarks. ",Yes,No,Not mentioned,Not mentioned,"Adversarial Robustness, False Positive Rate, Quality, Unforgeability",                Acknowledged,"Invisible and visible watermarks can be manipulated, removed, or altered",Not Mentioned,Not Mentioned,                Acknowledged,Invisible watermarks should be invisible to human eye. ,Not Mentioned,Not Mentioned,                Acknowledged,"Invisible watermarks can be forged, and including invisible watermarks in larger body of non AI generated text can be a way to forge them.",                Acknowledged,Post-hoc detectors can have significant false positives as they are often not inter-operable.,Development of standards,Strong suggestion,"Also discusses accuracy of post-hoc detectors, asks important question of who should be able to detect, also open-source model issues. ",,,
"Artificial Intelligence, Democracy, and Elections",Regulatory Briefing,European Parliament,Government entity,Yes,"Misinformation, Election integrity, Disinformation","Post-hoc detection, Invisible watermarks, Metadata tagging, Explicit labels, Visible watermarks",Examples,Adding watermarks requires model developer involvement,"Model provider generates watermark (IW)
 N/A post-hoc detection
Not mentioned (Invisible Watermarks)
N/A Explicit Labels
N/A Visible Watermarks",Acknowledges that a detection process exists (if applicable),"Algorithmically detectable (invisible watermarks)
Not mentioned (Metadata tagging)
Not applicable (Post-hoc detection)
Not applicable (Explicit labels)
Not applicable (Visible Watermarks)",Yes,"No (invisible watermarks), N/A (visible watermarks), N/A (Explicit labels), No (Metadata Tagging), Yes (post-hoc detectors)",Not mentioned,"Not mentioned (post-hoc detectors), Not mentioned (visible watermarks), Model providers (invisible watermarks), Not mentioned (Metadata Tagging), Not mentioned (explicit labels)","Adversarial robustness, Quality",Acknowledged.,"Watermarks can be removed by paraphrasing (Invisible Watermarks)
Visible watermarks and Explicit Labels are easily removed (Visible Watermarks, Explicit Labels)
Not mentioned (Metadata tagging)
Not Applicable (Post-hoc Detection)",Not mentioned,Not mentioned,Acknowledged,"Visible watermarks and explicit labels can be hard to spot.
Invisible watermarks can affect the quality of output
Not mentioned (Metadata tagging)
Not Applicable (Post-hoc Detection)",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Development of standards,Strong suggestion,"""Although distinguishing text generated by AI as opposed to humans is a difficult task, it
remains necessary especially for fact-checking breaking news. The EU is currently funding a number
of projects to build trustworthy AI solutions, one such project being vera.ai, which includes a fact-
checker-in-the-loop approach (where the AI model is re-trained continuously with the help of the
users' feedback) and AI models that constantly check updated and verified sources.""",,,
Google offers its AI watermarking tech as free open source toolkit,Web Article,Kyle Orland,Journalist(s),No,Deepfakes,"Invisible Watermarks, Post-hoc detection",Exhaustive List,Adding watermarks requires model developer involvement,Describes how watermarks are incorporated by developer into the generation process of their model (invisible watermarks). N/A (post-hoc detection). ,Acknowledges that a detection process exists (if applicable),"""Easily and reliably detected via an algorithm"", and detected via a ""scoring function"" (invisible watermarks). Not mentioned (post-hoc detection).",No,"No (invisible watermarks), No (post-hoc detection)",Not mentioned,"Not mentioned (invisible watermarks), Not mentioned (post-hoc detection)","Honest Robustness, False Negative Rate, Quality, False Positive Rate, Adversarial Robustness",Acknowledged.,"Mentions that users can avoid detection by using open-source models, which can be modified to turn off watermarking features (invisible watermarks). Not mentioned (post-hoc detectors).",Acknowledged,"""Somewhat resistant to light editing or cropping of text"" (invisible watermarks). Not mentioned (post-hoc detectors).",Acknowledged,"Mentions watermark can be ""non-distortionary"", and that quality can be decreased to increase detectability (invisible watermarks). Not mentioned (post-hoc detectors).",Acknowledged,"Mentions (1) longer outputs leads to ""more statistical certainty when making a decision""; (2) that succesful detection depends heavily on entropy of the output (which is related to the ""temperature"" of the model) and the length of the text; and (3) quality can be decreased to increase detectability (invisible watermarks). Not mentioned (post-hoc detectors).",Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (post-hoc detectors).,Acknowledged,"Just mentions that low false positive rate is important for there to not be a ""large wave of cheating accusations"" (invisible watermarks). Not mentioned (post-hoc detectors).","Model providers must add watermarks, Development of standards",Suggestion,"Mentions that post-hoc detectors are ""unreliable"", but does not expand on what this means. Marked as ""exhaustive list"" because of the sentence ""without watermarking, ""post hoc"" AI detectors have proven to be extremely unreliable in real-world scenarios.""",,,
Meta Will Crack Down on AI-Generated Fakes—but Leave Plenty Undetected,Web Article,Vittoria Elliott,Journalist(s),Yes,"Misinformation, Disinformation","Metadata tagging, Explicit labels",Examples,Adding watermarks requires model developer involvement,Mentions that C2PA requires developers being involved (metadata tagging). Mentioned that explicit labels require the content was generted by a model that watermarks their output (explicit labels).,Does not acknowledges that a detection process exists (if applicable),Not mentioned (metadata tagging). Not applicable (explicit labels).,No,"Not applicable (explicit labels), No (metadata tagging)",Not mentioned,"Not mentioned (metadata tagging), Not mentioned (explicit labels)","Adversarial Robustness, Unforgeability","Mentions that ""researchers found they could easily break watermarks"" as a general statement. The study linked was about invisible watermarks, but it was mentioned right after C2PA was mentioned. Also mentions that adversaries that do not want outputs watermarked can just use tools that don't watermark their outputs.",Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (explicit labels).,"Mentions that researchers found ways to add watermarks ""to images that hadn’t been generated by AI to make it appear that they had"" as a general statement. The study linked was about invisible watermarks, but it was mentioned right after C2PA was mentioned.",Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned,N/A,"Frames watermarks as a vague, abstract technology. Also mentions how watermarks may need to be used in concert with other technologies, such as hash-based watch lists of bad content.",,,
Big AI won't stop election deepfakes with watermarks,Web Article,Vittoria Elliott,Journalist(s),Yes,"Deepfakes, Election Integrity, Misinformation, Disinformation, Liar's dividend","Visible Watermarks, Invisible Watermarks, Metadata tagging",Examples,Adding watermarks requires model developer involvement,Not mentioned (visible watermarks). Not mentioned (invisible watermarks). Not mentioned (metadata tagging).,Acknowledges that a detection process exists (if applicable),"Watermarks ""would be detectable by a machine but not necessarily a human user"" (invisible watermarks).",No,"No (invisible watermarks), No (metadata tagging), No (visible watermarks)",Not mentioned,Not mentioned,"Adversarial Robustness, Honest Robustness, Unforgeability","Acknowledged. Broadly mentions ""some of these methods might be hard to undo"", but that there are ""ways to corrupt the watermarks"".",Mentions that watermarks are easy to remove (visible watermarks). Not mentioned (invisible watermarks). Not mentioned (metadata tagging).,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,"Mentions ""there’s little to stop a malicious actor from putting watermarks on real content to make it appear fake"". Mentions that one way to protect against this is to use ""cryptographic signatures"".",Not mentioned (visible watermarks). Not mentioned (invisible watermarks). Not mentioned (metadata tagging).,Not mentioned.,N/A,Not mentioned,N/A,"Uses term ""watermarks"" to refer to a collection of technologies. Acknowledges that ""just labeling content as AI-generated doesn’t do much to help users figure out whether something is malicious, misleading, or  meant for entertainment"".

",,,
The AI detection arms race is on,Web Article,Christopher Beam,Other online contributor(s),Yes,"Plagiarism, Fraud/Scams, Deepfakes","Post-hoc detection, Invisible Watermarks, Metadata tagging",Examples,Adding watermarks requires model developer involvement,Mentions that adding watermarks requires tweaking the behavior of the model (invisible watermarks). Not mentioned (metadata tagging). N/A (post-hoc detection).,Acknowledges that a detection process exists (if applicable),"Tools are used to verify if content is AI generated (post-hoc detection). Watermarks are ""easily spottable by an algorithm"" (invisible watermarks). Right-click to verify provenance information (metadata tagging).",Yes,"Yes (post-hoc detection), No (invisible watermarks), No (metadata tagging)",Not mentioned,"Not mentioned (post-hoc detection), Not mentioned (metadata tagging), Not mentioned (invisible watermarks)","Adversarial Robustness, False Negative Rate, False Positive Rate",Acknowledged.,"Mentions various ways to avoid detection tools; in particular, mentions being able to use a tool ""against itself"" by iteratively tweaking and checking the test against the detector (post-hoc detectors). Mentions that ""with enough paraphrasing"", watermarks can be removed (invisible watermarks). Not mentioned (metadata tagging).",Not mentioned.,Not mentioned (post-hoc detection). Not mentioned (invisible watermarks). Not mentioned (metadata tagging).,Not mentioned.,Not mentioned (post-hoc detection). Not mentioned (invisible watermarks). Not mentioned (metadata tagging).,Acknowledged,"Mentions that precision ""varies wildly"" across tools, and that ""images, videos, and audio snippets are far easier to detect, at least for now, than synthetic text"" (post-hoc detectors). Not mentioned (metadata tagging).",Not mentioned.,Not mentioned (post-hoc detection). Not mentioned (invisible watermarks). Not mentioned (metadata tagging).,Acknowledged,"Mentions how tools may misclasify human content as AI-generated, which could lead to bad consequences such as false accusations of plagiarism; also mentions how ""increasing sensitivity"" leads to more false positives (post-hoc detectors). Not mentioned (metadata tagging). Not mentioned (invisible watermarks).",Not mentioned,N/A,"For metadata tagging detection, mentions that users can right click on an icon, but does not mention the broader process of verification for metadata tagging.",,,
"To Watermark AI, It Needs Its Own Alphabet",Web Article,Alistair Croll,Other online contributor(s),Yes,"Fraud/Scams, Election Integrity, Deepfakes, Plagiarism","Metadata tagging, Cryptographic/Digital Signatures",Exhaustive List,Adding watermarks requires model developer involvement,Only discusses for Unicode alphabet.,Does not acknowledges that a detection process exists (if applicable),Not mentioned (metadata tagging). Not mentioned (cryptographic signatures).,No,"No (metadata tagging), No (cryptographic signatures)",Not mentioned,"Not mentioned (metadata tagging), Not mentioned (cryptographic signatures)","Honest Robustness, False Negative Rate",Not mentioned.,Not mentioned (metadata tagging). Not mentioned (cryptographic signatures).,"Mentions that solutions need to ""survive being copied and pasted"". ",Not mentioned (metadata tagging). Not mentioned (cryptographic signatures).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (cryptographic signatures).,"Mentions that, for many solutions, these do not work well unless the text to be watermarked is long and continuous.",Not mentioned (metadata tagging). Not mentioned (cryptographic signatures).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (cryptographic signatures).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (cryptographic signatures).,Model providers must add watermarks,Suggestion,"Also mentions steganography and Unicode alphabet (the focus of the document) as a technology for detecting gen AI content. In general, not very technologically-accurate.",,,
OpenAI’s flawed plan to flag deepfakes ahead of 2024 elections,Web Article,Ashley Belanger ,Journalist(s),Yes,"Deepfakes, Election Integrity, Disinformation, Fraud/Scams, Identity Theft","Metadata tagging, Post-hoc detection, Invisible Watermarks",Examples,Adding watermarks requires model developer involvement,Mentions that adding metadata tags requires model developers  being involved (metadata tagging). Mentions that adding watermarks is done by the model developer (invisible watermarks). Not applicable (post-hoc detectors).,Acknowledges that a detection process exists (if applicable),"Broad mention of a ""tool"" provided by an individul model developer (OpenAI) to verify the metadata tag (post-hoc detectors). Not mentioned (invisible watermarks). Tools are used to verify if content is AI generated (post-hoc detection).",Yes,"Yes (metadata tagging), No (invisible watermarks), Yes (post-hoc detection)",Not mentioned,"Not mentioned (metadata tagging), Not mentioned (invisible watermarks), Not mentioned (post-hoc detection)","Adversarial Robustness, False Positive Rate",Acknowledged.,"Mentions that metadata could ""always be removed"" (metadata tagging). Mentions that users can avoid watermarks by using tools that do not watermark to begin with (invisible watermarks).",Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (post-hoc detectors).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (post-hoc detectors).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (post-hoc detectors).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (post-hoc detectors).,Acknowledged.,Mentions that false positives are an issue (post-hoc detectors). Not mentioned (metadata tagging). Not mentioned (invisible watermarks).,Not mentioned,N/A,"Uses ""watermarks"" in a way that could be both visible and invisible watermarks.",,,
Researchers show how easy it is to defeat AI watermarks,Web Article,Kate Knibbs,Other online contributor(s),Yes,"Deepfakes, Election Integrity","Invisible Watermarks, Visible Watermarks",Examples,Adding watermarks requires model developer involvement,"Mentions that watermarks are added as the content ""is being generated"" (invisible watermarks). Not mentioned (visible watermarks).",Does not acknowledges that a detection process exists (if applicable),Not mentioned (invisible watermarks). Not applicable (visible watermarks).,No,"Not Applicable (Visible Watermarks), No (invisible watermarks)",Not mentioned,"Not mentioned (invisible watermarks), Not mentioned (visible watermarks)","Unforgeability, Adversarial Robustness",Acknowledged.,"Mentions that it is easy to remove watermarks, and that ""all"" watermarks are vulnerable (invisible watermarks). Mentions that ""some researchers have held out hope that visible (“high perturbation”) watermarks might be developed to withstand attacks"" but that some researchers ""say that even this more promising type can be manipulated"" (visible watermarks).",Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Acknowledged.,Mentions that it is possible to add watermarks to human-generated content (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned,N/A,"Somewhat unclear distinction between visible and invisible watermarks. Cites researchers saying that watermarks are not sufficient on their own, but rather part of the solution.",,,
